event_id,title,company,location,date,type,description,link
1663,SkillReBoot Program: Restart Your Career Journey,HerKey,Online,2025-04-21 to 2025-05-20,Career Development,"A program offering professional skills development and networking opportunities for women returning to the workforce.",https://events.herkey.com/events/skillreboot-program-restart-your-career-journey/1663
1581,Tech Firebrand by Subex,Subex,Online,2025-03-27,Networking,"An event focusing on opportunities in the telecom industry, welcoming women interested in telecommunications.",https://events.herkey.com/events/tech-firebrand-by-subex/1581
1660,LeadHERs in Tech: Tech Meets Talent, Honeywell Technology Solutions,Bangalore,2025-03-21,Networking,"A dynamic event dedicated to empowering women in technology through discussions, stories, and hands-on sessions.",https://events.herkey.com/events/leadhers-in-tech-tech-meets-talent-innovation-meets-inspiration/1660
1662,Do-It-Herself 5.0: Returnship Program at Lowe's India,Lowe's India,Online,2025-03-27,Returnship Program,"A returnship program offering paid internships, mentorship, and potential full-time offers for women on a career break.",https://events.herkey.com/events/do-it-herself-5-0-returnship-program-at-lowe-s-india-for-women-on-a-career-break/1662
1666,#STEMTheBias Scholarship,Great Learning,Online,2025-03-03 to 2025-03-25,Scholarship,"Scholarships up to INR 80,000 for women pursuing careers in AI, data science, and tech.",https://events.herkey.com/events/stemthebias-scholarship-avail-scholarships-up-to-rs-80-000/1666
738,VMinclusion Taara – A Unique Return to Work Program,VMware,Online,2019-01-01,Returnship Program,"A program designed to help women return to the workforce by updating their skills in technology.",https://events.herkey.com/events/vminclusion-taara-an-unique-return-to-work-program-by-vmware-and-women-who-code/738
1663,SkillReBoot Program: Restart Your Career Journey,HerKey,Online,2025-04-21 to 2025-05-20,Career Development,"A program offering professional skills development and networking opportunities for women returning to the workforce.",https://events.herkey.com/events/skillreboot-program-restart-your-career-journey/1663
1581,Tech Firebrand by Subex,Subex,Online,2025-03-27,Networking,"An event focusing on opportunities in the telecom industry, welcoming women interested in telecommunications.",https://events.herkey.com/events/tech-firebrand-by-subex/1581
1664,HerRising 2025,HerKey,Bangalore,2025-06-19,Conference,"India’s largest work-life summit for aspirational women professionals.",https://events.herkey.com/events/herrising-2025/1664
1665,AccelHERate and DivHERsity Awards 2025,HerKey,Bangalore,2025-02-28,Awards,"India’s biggest conference and awards for companies committed to diversity and inclusion.",https://events.herkey.com/events/accelherate-and-divhersity-awards-2025/1665
1667,HerFuture Focus,HerKey,Delhi,2025-02-14,Networking,"An event connecting trailblazers redefining GCC for women.",https://events.herkey.com/events/herfuture-focus/1667
1668,ASHA AI Hackathon 2025,HerKey,Online,2025-04-10,Hackathon,"A hackathon focusing on AI for good, encouraging women in tech to solve real-world problems.",https://events.herkey.com/events/asha-ai-hackathon-2025/1668
1669,Women in Tech Summit 2025,HerKey,Bangalore,2025-06-15,Conference,"A summit bringing together women in technology to share insights and experiences.",https://events.herkey.com/events/women-in-tech-summit-2025/1669
