training_id,title,company,location,type,category,description,link
1663,SkillReBoot Program: Restart Your Career Journey,HerKey,Online,Training,Career Development,"A program offering professional skills and a combination of professional and technical skills to help women returnees boost their careers.","https://events.herkey.com/events/skillreboot-program-restart-your-career-journey/1663"
1011,The HerTech Academy: 100% Scholarships for Women to Excel in Their Tech Careers,HerKey,Online,Scholarship,Tech,"Provides 100% scholarships for women to pursue courses in Full Stack Python, Java Programming, MySQL & PHP, Selenium, Angular, AWS, and Node.js.","https://events.herkey.com/events/the-hertech-academy-100-scholarships-for-women-to-excel-in-their-tech-careers/1011"
1257,Back to Work - Jobs Readiness Program,RestartHer Academy,Online,Training,Career Development,"A 4-week virtual course designed specifically for women looking to restart their careers after a break, covering career clarity, readiness, and restart modules.","https://events.herkey.com/events/back-to-work-program-for-women-on-a-career-break-by-restarther-academy-powered-by-trust/1257"
1447,Exploring Careers in Product Management for Women Returnees,HerKey,Online,Webinar,Product Management,"An informative session for women returnees interested in transitioning into product management roles, featuring industry insights and career guidance.","https://events.herkey.com/events/exploring-careers-in-product-management-for-women-returnees/1447"
1476,Back to Work with MS Office,RestartHer Academy,Online,Training,Tech Skills,"A program focusing on enhancing MS Office skills for women returnees, aiming to boost confidence and productivity in the workplace.","https://events.herkey.com/events/back-to-work-restarther-with-ms-office/1476"
1532,Masterclass: Exploring Returnship Opportunities,HerKey,Online,Masterclass,Career Development,"A masterclass providing insights into returnship programs, offering guidance on navigating career re-entry and leveraging available opportunities.","https://events.herkey.com/events/n-a/1532"
1173,Reboot 2.0 with HP: Exclusively for Women Returnees,HP,Online,Returnship Program,Tech,"A 24-week paid returnship program offering project-specific training, mentorship, and potential full-time employment for women returnees.","https://events.herkey.com/events/reboot-2-0-with-hp-exclusively-for-women-returnees/1173"
1297,Back to Business with PwC India!,PwC India,Online,Returnship Program,Consulting,"A 24-week paid returnship program designed to help women returnees reintegrate into the workforce through structured learning and hands-on experience.","https://events.herkey.com/events/back-to-business-with-pwc-india/1297"
1233,Intuit Again: A Returnship Program by Intuit,Intuit,Online,Returnship Program,Tech,"A program offering women returnees the opportunity to re-enter the workforce through project-based work and mentorship in technology roles.","https://events.herkey.com/events/intuit-again-a-returnship-program-by-intuit-for-women-returning-to-work/1233"
1623,Women in Sales Program,HerKey,Online,Training,Sales,"A 3-week program designed to enhance sales skills for women professionals, covering prospect identification, pitching, and negotiation strategies.","https://events.herkey.com/events/women-sales-network-program-by-herkey/1623"
1626,Women in Recruitment Program,HerKey,Online,Training,Recruitment,"A 3-week program focusing on recruitment fundamentals, including candidate sourcing, interviewing, and onboarding processes.","https://events.herkey.com/events/women-in-recruitment/1626"
1521,Lift-Off Program for Women Entrepreneurs,HerKey,Online,Training,Entrepreneurship,"An initiative supporting women entrepreneurs in tech startups, offering mentorship, business model evaluation, and access to funding opportunities.","https://events.herkey.com/events/lift-off-program-for-women-entrepreneurs/1521"
1274,The HerKey Table: Negotiation Skills for Women,HerKey,Online,Workshop,Leadership,"A live workshop aimed at enhancing negotiation skills for women professionals, focusing on strategies to navigate workplace challenges.","https://events.herkey.com/events/the-herkey-table-you-already-have-it-negotiation-skills-for-women-live/1274"
1261,The HerKey Conclave for Globally Rising Women Leaders,HerKey,Bangalore,Conference,Leadership,"A conclave designed to enable women across the globe to rise to leadership positions, featuring workshops and keynotes by industry experts.","https://events.herkey.com/events/the-herkey-conclave-for-globally-rising-women-leaders-december-2022-bangalore/1261"
